shared_event_id,node1_event_id,node2_event_id,start,end,node1_start,node1_end,node2_start,node2_end,duration_hours
1,3,15,2025-12-20 14:00:00,2025-12-20 19:00:00,2025-12-20 14:00:00,2025-12-20 19:00:00,2025-12-20 11:00:00,2025-12-20 20:00:00,6.0
2,28,17,2026-01-18 15:00:00,2026-01-18 15:00:00,2026-01-18 10:00:00,2026-01-18 15:00:00,2026-01-18 15:00:00,2026-01-18 18:00:00,1.0
3,31,26,2026-02-01 02:00:00,2026-02-01 04:00:00,2026-02-01 02:00:00,2026-02-01 04:00:00,2026-02-01 02:00:00,2026-02-01 04:00:00,3.0
4,32,29,2026-02-05 00:00:00,2026-02-05 00:00:00,2026-02-05 00:00:00,2026-02-06 10:00:00,2026-02-04 15:00:00,2026-02-05 00:00:00,1.0
5,32,30,2026-02-05 10:00:00,2026-02-05 12:00:00,2026-02-05 00:00:00,2026-02-06 10:00:00,2026-02-05 10:00:00,2026-02-05 12:00:00,3.0
6,32,31,2026-02-05 16:00:00,2026-02-06 10:00:00,2026-02-05 00:00:00,2026-02-06 10:00:00,2026-02-05 16:00:00,2026-02-06 23:00:00,19.0
7,33,31,2026-02-06 14:00:00,2026-02-06 18:00:00,2026-02-06 14:00:00,2026-02-06 18:00:00,2026-02-05 16:00:00,2026-02-06 23:00:00,5.0
8,35,36,2026-02-10 14:00:00,2026-02-10 16:00:00,2026-02-10 14:00:00,2026-02-10 16:00:00,2026-02-10 14:00:00,2026-02-10 16:00:00,3.0
9,36,38,2026-02-11 15:00:00,2026-02-11 17:00:00,2026-02-11 15:00:00,2026-02-11 17:00:00,2026-02-11 11:00:00,2026-02-11 17:00:00,3.0
10,38,40,2026-02-12 16:00:00,2026-02-12 18:00:00,2026-02-12 16:00:00,2026-02-12 18:00:00,2026-02-12 16:00:00,2026-02-12 18:00:00,3.0
11,39,43,2026-02-14 15:00:00,2026-02-14 17:00:00,2026-02-14 15:00:00,2026-02-14 17:00:00,2026-02-14 15:00:00,2026-02-14 17:00:00,3.0
12,40,44,2026-02-16 15:00:00,2026-02-16 17:00:00,2026-02-16 15:00:00,2026-02-16 17:00:00,2026-02-16 15:00:00,2026-02-16 17:00:00,3.0
13,41,49,2026-02-21 00:00:00,2026-02-21 04:00:00,2026-02-21 00:00:00,2026-02-21 05:00:00,2026-02-21 00:00:00,2026-02-21 04:00:00,5.0
14,42,51,2026-02-21 22:00:00,2026-02-22 01:00:00,2026-02-21 22:00:00,2026-02-22 01:00:00,2026-02-21 21:00:00,2026-02-22 01:00:00,4.0
15,43,52,2026-02-22 07:00:00,2026-02-22 20:00:00,2026-02-22 07:00:00,2026-02-22 20:00:00,2026-02-22 07:00:00,2026-02-22 23:00:00,14.0
16,44,54,2026-02-23 13:00:00,2026-02-23 21:00:00,2026-02-23 13:00:00,2026-02-23 21:00:00,2026-02-23 13:00:00,2026-02-23 23:00:00,9.0
17,45,56,2026-02-26 02:00:00,2026-02-26 12:00:00,2026-02-26 02:00:00,2026-02-26 12:00:00,2026-02-26 02:00:00,2026-02-26 14:00:00,11.0
18,47,57,2026-02-27 18:00:00,2026-02-27 19:00:00,2026-02-27 18:00:00,2026-02-27 20:00:00,2026-02-27 13:00:00,2026-02-27 19:00:00,2.0
19,48,61,2026-03-04 14:00:00,2026-03-04 16:00:00,2026-03-04 14:00:00,2026-03-04 16:00:00,2026-03-04 14:00:00,2026-03-04 16:00:00,3.0
20,49,62,2026-03-06 01:00:00,2026-03-06 03:00:00,2026-03-06 01:00:00,2026-03-06 03:00:00,2026-03-06 01:00:00,2026-03-06 03:00:00,3.0
21,50,63,2026-03-06 18:00:00,2026-03-06 19:00:00,2026-03-06 18:00:00,2026-03-06 20:00:00,2026-03-06 11:00:00,2026-03-06 19:00:00,2.0
22,52,64,2026-03-10 04:00:00,2026-03-10 06:00:00,2026-03-10 04:00:00,2026-03-10 07:00:00,2026-03-10 04:00:00,2026-03-10 06:00:00,3.0
23,55,69,2026-03-22 10:00:00,2026-03-22 11:00:00,2026-03-22 09:00:00,2026-03-22 11:00:00,2026-03-22 10:00:00,2026-03-22 16:00:00,2.0
24,56,73,2026-03-26 04:00:00,2026-03-26 09:00:00,2026-03-26 04:00:00,2026-03-26 09:00:00,2026-03-26 04:00:00,2026-03-26 15:00:00,6.0
25,59,78,2026-04-07 11:00:00,2026-04-07 11:00:00,2026-04-07 11:00:00,2026-04-07 13:00:00,2026-04-07 09:00:00,2026-04-07 11:00:00,1.0
26,62,80,2026-04-18 14:00:00,2026-04-18 17:00:00,2026-04-18 14:00:00,2026-04-18 17:00:00,2026-04-18 10:00:00,2026-04-18 17:00:00,4.0
