selected_event_id,original_shared_event_id,event_start,event_end,event_duration_hours,peak_rain_intensity,mean_peak_lag_h,mean_first_response_lag_h,rainfall_intensity_class
1,8,2026-02-10 14:00:00,2026-02-10 16:00:00,3.0,3.3600000000000003,2.5,2.0,Moderate Rain
2,11,2026-02-14 15:00:00,2026-02-14 17:00:00,3.0,35.7,3.5,2.0,Heavy Rain
3,13,2026-02-21 00:00:00,2026-02-21 04:00:00,5.0,52.08,4.0,2.0,Heavy Rain
4,14,2026-02-21 22:00:00,2026-02-22 01:00:00,4.0,44.67272727272727,2.5,1.5,Heavy Rain
5,15,2026-02-22 07:00:00,2026-02-22 20:00:00,14.0,44.67272727272727,14.0,2.0,Heavy Rain
6,17,2026-02-26 02:00:00,2026-02-26 12:00:00,11.0,104.63478260869564,9.5,2.0,Heavy Rain
7,20,2026-03-06 01:00:00,2026-03-06 03:00:00,3.0,42.74117647058824,3.0,2.0,Heavy Rain
8,22,2026-03-10 04:00:00,2026-03-10 06:00:00,3.0,4.2,3.0,2.0,Moderate Rain
9,25,2026-04-07 11:00:00,2026-04-07 11:00:00,1.0,7.0,0.5,1.0,Moderate Rain
10,26,2026-04-18 14:00:00,2026-04-18 17:00:00,4.0,5.5,3.0,1.0,Moderate Rain
